Unnamed: 0,disease,symptoms
818,Turner Syndrome,"slowed growth, cardiac defects, low hairline at the back of the head, receding or small lower jaw, short fingers, toes, inability to conceive a child without fertility treatment, narrow roof of the mouth (palate), arms that turn outward at the elbows, fingernails, toenails that are narrow, turned upward, swelling of the hands, feet, heart defects, edema, heart abnormalities, abnormal kidneys, wide or weblike neck, low-set ears, broad chest with widely spaced nipples, short stature, ovarian insufficiency, ovarian failure, no growth spurts at expected times in childhood, adult height significantly less than might be expected for a female member of the family, failure to begin sexual changes expected during puberty, sexual development that ""stalls"" during teenage years, early end to menstrual cycles not due to pregnancy"
819,Type 1 Diabetes,"feeling more thirsty than usual, urinating a lot, bed-wetting, feeling very hungry, losing weight without trying, feeling irritable, mood changes, feeling tired, weak, blurry vision"
820,Type 1 Diabetes In Children,"increased thirst, frequent urination, bed-wetting, extreme hunger, unintentional weight loss, fatigue, irritability, behavior changes, fruity-smelling breath"
821,Type 2 Diabetes,"increased thirst, frequent urination, increased hunger, unintended weight loss, fatigue, blurred vision, slow-healing sores, frequent infections, numbness or tingling in the hands or feet, areas of darkened skin"
822,Type 2 Diabetes In Children,"frequent infections, unintended weight loss, increased thirst, frequent urination, increased hunger, fatigue, blurry vision, darkened areas of skin"
823,Typhoid,"bony bump at the first toe joint, abdominal cramps, big toe turned outward toward the other toes, may cross over the second toe, bleeding from the umbilical cord just after birth, bleeding in the brain, bleeding in the joints, bleeding in the mucous membranes, bluish skin(fingernails, lips), blurred vision, body aches, bone pain or tenderness, breast lump or lump in the armpit that is hard, breath odor, metallic taste in the mouth, change in the size, changes in gait (walking), changes in mental status, chills, coma (lack of responsiveness), convulsions (seizures), cough, coughing up blood, cramping abdominal pain, cruel or aggressive behavior toward people or animals (for example: bullying, crusts that form on the eyelid overnight (most often caused by bacteria), decreased ability to feel touch or pain (sensation), decreased urine output, difficulty breathing, difficulty wearing regular shoes, drooping eyelids, easy bruising, bleeding, enlarged lymph nodes, enlarged pupil that does not get smaller when a light shines on it, excessive sweating, eye pain, fatigue(feeling tired), feeling nervous, fever-- usually low-grade, fluid drainage from a pit on the neck, fluid from the nipple, foamy appearance of urine, gray or white cloudiness of the pupil (which is normally black), gritty feeling in the eyes, hallucinations, headache, heavy bleeding after injury or surgery, high blood pressure, inflammation of the retina, intense itching or burning eyes, itching, lack of coordination, language problems, large sore (ulcer) in the area of the bite, light sensitivity, loss of appetite, loss of muscle function, muscle twitching, muscles around the ribs sink in as the child tries to breathe in (called intercostal retractions), nasal congestion, nausea, vomiting, night sweats, noisy breathing, nosebleeds that do not stop easily, pain over the joint, paleness, personality changes, loss of social skills, pressure or damage to the optic nerve, problem speaking, rapid respiratory rate, rashes, red, red eyes, reddish or purplish color in a circle around spider bite, reduced pulse, runny nose, shortness of breath, sleepiness, sneezing, sore throat, stopped breathing or respiratory arrest, stupor (lack of alertness), tearing (watery eyes), the ""red eye"" glow (red reflex) of the pupil is missing in photos, unintentional weight loss, unusual rapid eye movements (nystagmus), vision problems, vomiting, watery diarrhea, weakness in a limb, weakness with paralysis, wheezing, wide (dilated) pupils, no movement in one or both eyes, yellowing of skin, whites of the eyes (jaundice), belly_pain, high_fever, lumps, diarrhea, watery stools, nausea, abdominal pain, constipation, bloating"
824,Typhoid Fever,"loss of appetite, sweating, fever, confusion, inability to pay attention, inability to react, chills, headache, weakness, fatigue, muscle aches, stomach pain, diarrhea, constipation, rash, cough, swollen stomach"
825,Ulcerative Colitis,"abdominal cramping, abdominal pain, rectal bleeding, bloody diarrhea, inability to move bowels, tenesmus, weight loss, urgency to defecate, diarrhea, failure to grow, fatigue, rectal pain, fever, passing blood with stool"
826,Umbilical Hernia,"soft swelling, bulge, cough, strain, painless, abdominal discomfort, cry"
827,Undescended Testicle,not seeing or feeling a testicle where you would expect it to be in the scrotum
828,Undifferentiated Pleomorphic Sarcoma,"growing lump, swelling, loss of appetite, constipation, fever, weight loss, pain, tingling, numbness"
829,Ureteral Cancer,"blood in urine, back pain, pain when urinating, losing weight without trying, fatigue"
830,Urinary Tract Infection,"chest that sinks in or sticks out, abdominal pain, abnormal strength, direction of urine stream, bed wetting, bleeding (hematuria) at end of urination, blood in the urine, bloodshot eyes, blurred vision, bulge in the groin or scrotum, changes in gait (walking), changes in mental status or mood, chills, coma (lack of responsiveness), conjunctivitis, convulsions (seizures), cough, coughing up blood, decreased alertness, decreased appetite (may also be increased or unchanged), decreased urine output, dehydration, difficulty breathing, difficulty getting up from the floor, climbing stairs, difficulty in thinking, difficulty lifting, difficulty swallowing -- choking easily, difficulty swallowing liquids, solids, drainage from the ear, dry eye, dry cough, ear discomfort or pain in one or both ears, ear noise/buzzing (also called pulsatile tinnitus), enlarged breasts, enlarged lymph nodes, enlargement of a testicle or change in the way it feels, fainting/drowsiness, fatigue(feeling tired), fever, chills that come, go, flat feet, foamy appearance of urine, frequent styes(bumps), hair loss, headache, hearing loss, highly arched palate, crowded teeth, hoarseness, burning sensation when i pee, fever, strong smell in urine, cloudy urine, need to urinate more often at night, strong urge to urinate frequently, nauseous, high temperature, pain when i urinate, red or black urine, trouble sleeping, body temperature keeps changing, pain in bladder, vomiting, pelvic pain, migraines, sick to my stomach, hot at night, constantly go to the bathroom to pee, go to the bathroom a lot, burning, hurts when i go, lower abdomen, feels like it may explode when i urinate, feeling weak, low body temperature, strange odor in urine, feverish, feel sick after i pee, frequent urges to urinate, go to the toilet a lot more frequently than normal, pee a lot, fever for the past four days, low temps, terrible smelling pee, impaired growth in children, indigestion, infertility, irritability, jerky or abnormal eye movements (nystagmus) late in the disease, joint stiffness, joints that are too flexible (but the elbows may be less flexible), lack of coordination, learning disabilities, lethargy, light sensitivity, loss of appetite, loss of balance, loss of muscle function or paralysis of the lower legs, loss of muscle tone (floppiness), malaise(general discomfortness, movement of the lens of the eye from its normal position (dislocation), muscle cramps, muscle pain, muscle spasms, muscle stiffness, dark, bloody pee, temperature fluctuations, can't sleep at night, nasal congestion, nausea, vomiting, nearsightedness, night sweats, nosebleeds, numbness, tingling of hands or feet, pain in the abdomen, pain in the arms or legs, pain in throat, pain may move to the groin area (groin pain), pain or feeling of fullness below the ribs from an enlarged liver or spleen, pale skin, pinpoint red spots on the skin, rashes, red eyes, redness of the ear or behind the ear, repetitive eye movements (nystagmus), ringing (tinnitus) in the affected ear, runny nose, scaly skin patches, scratchy throat, severe pain in the throat, shortness of breath, sinusitis(sinus infection), skin infections, slight blurring of vision due to excess oil in tears, small lower jaw, sore throat, spine that curves to one side, straining to urinate, strange eye movements (nystagmus), stupor (lack of alertness), swelling (edema) in any area of the body, swelling, redness of eyelid edges, swelling behind the ear, swollen lymph nodes in the neck, tenderness or pain in the testicles, thin, tiny white spots inside the mouth (koplik spots), trouble feeding, trouble getting or staying pregnant (infertility), unintentional weight loss, unstable or jerky walking, urinary incontinence, urination changes, urine that smells like maple syrup, vertigo (sensation that surroundings are spinning) with nausea, vomiting, visible narrowing of the urethral opening in boys, vomiting, walking problems (unsteady gait) that can lead to falls, weakness of the face or facial asymmetry, weakness with paralysis, yellowing of skin, whites of the eyes (jaundice), can't control need to pee, running a fever, fluctuating body temperature, labia (vaginal pain) in women, kidney hurt, craving things i don't normally like, feel really down, hard time peeing, feel like bladder is about to explode, cloudy, continuous feel of urine, continuous_feel_of_urine, bladder_discomfort, burning_micturition, can't seem to empty my bladder, uncontrollable urges to pee, dark or bloody, only pee a little bit, severe stomach pains, overwhelming urge to urinate, chest pain, climbing stairs, continuous or stabbing, drooling, excessive urination at night, foul_smell_of urine, foul_smell_of_urine, general swelling, ill feeling or uneasiness, feel really cold, upper part of the abdomen; pain is intense, liver, may cause ear to stick out or feel as if it is filled with fluid, narrow face, or gagging, spleen, or urination that stops completely, pain or numbness on the back of the calf or sole of the foot, testicles (testicle pain) in men, under arms, viral infection, weight gain, can't hold urine in, groin, almost feverish, urgency, bladder_discomfort, black pee, blood, constant pain, incontinence, frequent urination, urge to urinate, cloudy urine, continuous feel of urination, feeling feverish, feverish, strong odor"
